자치구,행정동_x,행정동_코드,월평균_총생활인구수,연령대0_평균,연령대10_평균,연령대20_평균,연령대30_평균,연령대40_평균,연령대50_평균,연령대60_평균,연령대70이상_평균,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구,연령대_100,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수,행정동,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점
종로구,이화동,11110640,16590722.315058334,427733.0080166666,865766.5689750001,3603180.460975,3347479.9395666667,2728908.627925,2421175.469875,1563348.738391667,1633129.5039166666,2094,910,469,308,78,19,5,4.416666666666667,209.41666666666663,358.5833333333333,1488.25,1135.9166666666667,845.0,1004.3333333333334,858.1666666666666,522.9166666666666,281.9166666666667,37.5,이화동,0.0,0.0,111.0,158.0,4729.0,1247.0
종로구,혜화동,11110650,20427902.02118333,835008.2980416667,2448640.8984916667,6056843.768375001,2564148.5487333336,2739010.2303500003,2398608.3792416663,1527610.8207583334,1858031.0675333336,4925,1719,1092,787,209,60,13,6.25,585.25,1218.25,4026.9166666666665,1874.8333333333333,1994.4166666666667,2153.583333333333,1510.3333333333333,1097.75,607.5,92.58333333333331,혜화동,0.0,0.0,72.0,188.0,8459.0,1600.0
종로구,창신1동,11110670,6612176.262708333,104031.981225,231190.34845,877573.8933416667,1046846.3437166668,1115516.8310916668,1361372.717966667,1020160.9466833333,855483.201575,1069,659,338,191,70,11,0,1.5,120.58333333333331,206.5,555.25,493.3333333333333,549.0,963.0,944.4166666666666,478.8333333333333,218.5,32.0,창신1동,156.0,84.0,21.0,83.0,3635.0,546.0
종로구,창신2동,11110680,7008485.963791666,219085.3689166667,468429.113625,1026269.1263333334,865485.0970583333,927660.09865,1523991.9972,1041281.475825,936283.6863416666,1288,984,626,425,123,28,10,4.25,198.66666666666663,420.3333333333333,1049.1666666666667,819.0,933.5833333333334,1648.75,1279.5,710.25,291.75,39.5,창신2동,0.0,0.0,57.0,12.0,1076.0,155.0
종로구,창신3동,11110690,3519784.8497916665,247107.12505833336,338202.621175,432226.24715833337,542365.9781833333,555929.36855,571791.16455,425210.66903333337,406951.6786916666,613,786,653,421,102,20,0,2.75,337.0833333333333,452.3333333333333,855.25,857.25,835.8333333333334,1141.3333333333333,947.8333333333334,470.75,216.16666666666663,34.666666666666664,창신3동,12.0,0.0,12.0,24.0,269.0,104.0
종로구,숭인1동,11110700,5959445.740633334,292908.9118,337256.761075,813404.1582749999,917366.4402833332,947107.582475,1110014.215825,777265.4370416667,764122.2389083334,1007,749,473,289,78,20,6,2.6666666666666665,246.5,321.75,716.4166666666666,744.8333333333334,811.5833333333334,1045.9166666666667,839.1666666666666,471.9166666666667,216.16666666666663,30.83333333333333,숭인1동,120.0,72.0,48.0,108.0,2620.0,379.0
종로구,숭인2동,11110710,9529392.727525,271848.1868916667,415862.3204416667,1613588.34945,1604658.1854416665,1534192.4773583335,1694941.345325,1267626.6781666668,1126675.182,2988,1080,539,357,80,16,5,3.4166666666666665,242.25,309.8333333333333,1985.0,1453.1666666666667,1123.25,1508.1666666666667,1247.9166666666667,662.1666666666666,276.8333333333333,35.75,숭인2동,36.0,23.0,12.0,12.0,1206.0,255.0
중구,소공동,11140520,18155541.974658333,502437.89475,542196.6391916666,2846086.9375,4672655.542033333,4499883.711708333,2990199.747191667,1342038.418683333,760043.0837750001,435,244,160,70,12,0,0,2.0,149.5,112.08333333333331,226.75,435.9166666666667,449.5,279.6666666666667,219.08333333333331,93.75,38.333333333333336,8.083333333333334,소공동,327.0,148.0,364.0,300.0,8266.0,3942.0
중구,회현동,11140540,16893522.082225,240623.1465,346943.69245833333,2410514.165175,3833187.752916666,3789543.548383333,2912090.526275,1882080.7489333327,1478538.5073666666,867,577,307,198,50,9,0,12.0,174.33333333333334,187.83333333333331,458.1666666666667,485.75,604.1666666666666,852.8333333333334,947.5833333333334,499.1666666666667,225.08333333333331,56.833333333333336,회현동,190.0,48.0,372.0,204.0,8540.0,3826.0
중구,명동,11140550,21449065.479691666,288013.3584,469862.0888916667,4090275.819691667,5727004.569491667,5063149.788008333,3214806.3135333336,1576886.2375750002,1019067.303475,581,258,130,65,20,0,6,4.583333333333333,75.5,118.25,338.5,368.3333333333333,382.3333333333333,445.25,470.1666666666667,282.8333333333333,129.33333333333334,23.916666666666668,명동,413.0,140.0,299.0,596.0,15399.0,6446.0
중구,필동,11140570,7972901.207266666,217010.00865,476775.0569416666,1748769.5824666666,1467329.9841083332,1441755.9269583337,1272302.1662416663,726814.9752250001,622143.511125,1020,485,221,127,39,11,0,7.666666666666667,165.0,168.33333333333334,671.6666666666666,600.8333333333334,438.1666666666667,545.25,564.0,325.5833333333333,174.33333333333334,47.16666666666666,필동,448.0,36.0,95.0,183.0,6389.0,1762.0
중구,장충동,11140580,7641107.38335,130228.15721666667,317709.3533166667,1767978.1695416663,1561045.077933333,1379222.167725,1143104.522375,755220.2905666666,586599.6472166666,1509,565,274,206,61,13,0,1.3333333333333333,163.58333333333334,244.75,1093.75,610.5,522.25,544.25,485.75,334.1666666666667,177.08333333333334,26.0,장충동,12.0,24.0,72.0,90.0,1515.0,468.0
중구,광희동,11140590,15442896.62195,227181.973025,520223.655825,3015983.9857916664,3400014.748658333,3010584.0471166666,2509675.5025416664,1644152.6580166668,1115080.05675,1391,676,280,163,34,12,0,5.0,117.08333333333331,172.91666666666666,931.0,791.3333333333334,582.3333333333334,756.9166666666666,773.5,471.4166666666667,179.16666666666666,28.75,광희동,576.0,72.0,149.0,85.0,8073.0,3517.0
중구,을지로동,11140605,11963062.101525,100374.35554166666,182504.02285,1758236.929775,2313747.177233333,2476649.5908416663,2440567.822225,1549613.0487083334,1141369.1530833333,781,230,57,36,7,0,0,2.5,36.75,34.25,194.75,284.6666666666667,173.33333333333334,270.0,354.6666666666667,169.66666666666666,68.16666666666667,16.833333333333332,을지로동,510.0,132.0,56.0,128.0,7091.0,1758.0
중구,신당동,11140615,16675149.5823,282699.9473416667,518932.48828333337,2929993.981225,3938819.965633333,3186618.7075,2673098.595033333,1760845.9359,1384139.9543,2223,944,481,285,68,24,0,3.583333333333333,235.08333333333331,260.25,1238.5833333333333,1217.6666666666667,958.5833333333334,1229.4166666666667,987.4166666666666,590.8333333333334,235.75,47.91666666666666,신당동,84.0,108.0,187.0,307.0,8226.0,2668.0
중구,다산동,11140625,10752911.497775,557920.5584166667,700476.7576833334,1681962.2725416666,1920226.2147,1752337.3191583334,1565065.5891916668,1257372.10435,1317550.6828583332,2466,1761,1054,745,172,52,14,8.833333333333334,488.8333333333333,723.75,2129.583333333333,2020.9166666666667,1814.5833333333333,2093.333333333333,1833.1666666666667,1126.4166666666667,500.5833333333333,75.66666666666667,다산동,0.0,24.0,21.0,48.0,1155.0,243.0
중구,약수동,11140635,11322776.900158333,756457.1424083334,641954.0002666666,1296279.7917916663,1891306.0513583336,1822945.87235,1662676.3295166667,1508034.6533916667,1743123.052525,2054,2209,1504,918,189,43,8,4.416666666666667,942.9166666666666,863.6666666666666,1843.1666666666667,2172.6666666666665,2203.083333333333,2559.9166666666665,2484.25,1463.25,756.8333333333334,136.83333333333334,약수동,0.0,12.0,28.0,60.0,789.0,217.0
중구,청구동,11140645,8794318.144258333,633958.2872416667,687099.810525,1121483.1957916666,1486519.3537833334,1314861.202025,1357355.4679,969873.4153166666,1223167.4090666666,1924,1631,1173,797,194,36,9,3.9166666666666665,669.9166666666666,782.9166666666666,1755.3333333333333,1965.25,1725.5,2129.6666666666665,1849.1666666666667,1065.5833333333333,567.0833333333334,78.16666666666667,청구동,0.0,24.0,24.0,72.0,576.0,216.0
중구,신당5동,11140650,7895840.467291667,457506.5506333333,482477.9308,1180851.5600083333,1345099.7905166666,1280958.5459916666,1352675.302175,954779.1420083334,841491.6417,2182,1313,773,522,126,25,8,4.25,510.5833333333333,491.75,1513.5,1551.4166666666667,1412.8333333333333,1703.0,1235.0833333333333,755.9166666666666,322.3333333333333,41.333333333333336,신당5동,24.0,96.0,8.0,36.0,1388.0,203.0
중구,동화동,11140665,6850056.197483334,403925.8058833333,504312.154025,875367.1855416667,1100498.897225,1081765.7066833333,1184678.7868916667,832023.8824416666,867483.7710083333,795,1046,914,756,191,56,13,8.666666666666666,629.5,770.75,1255.25,1212.4166666666667,1402.9166666666667,1776.8333333333333,1353.9166666666667,694.4166666666666,397.1666666666667,60.0,동화동,0.0,12.0,0.0,48.0,713.0,201.0
중구,황학동,11140670,9522617.643566666,590342.6521,399578.5141833333,1492126.4010166666,2059286.744058333,1502944.8651750002,1373701.7003833333,1055812.5001333333,1048824.2562916668,2963,1649,908,527,126,35,5,2.75,671.4166666666666,458.9166666666667,1915.0833333333333,2566.1666666666665,1658.0,1631.9166666666667,1425.1666666666667,813.4166666666666,307.9166666666667,55.16666666666666,황학동,156.0,120.0,48.0,36.0,3629.0,677.0
중구,중림동,11140680,6732337.222591667,332711.83155,304866.5228833333,884216.2623916665,1452672.228925,1391718.4293916663,1091092.304475,651881.21045,623178.4348916666,1627,1390,1065,719,136,29,10,14.583333333333334,912.5,684.8333333333334,1257.6666666666667,1994.0833333333333,1856.3333333333333,1763.9166666666667,1382.3333333333333,843.6666666666666,384.6666666666667,60.41666666666666,중림동,48.0,72.0,83.0,120.0,2485.0,647.0
