행정동코드,연도,월,연령대_I00,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수
11110600,2021,12,0,171,320,475,535,694,709,567,391,195,31
11110615,2021,1,45,184,206,892,940,961,1327,1409,829,373,90
11110615,2021,2,45,191,204,891,933,961,1325,1401,837,374,91
11110615,2021,4,5,187,224,928,936,959,1320,1414,833,385,59
11110615,2021,5,5,187,230,926,932,956,1337,1412,833,384,63
11110615,2021,6,6,188,219,924,929,943,1318,1424,828,385,62
11110615,2021,7,5,186,219,926,920,936,1317,1409,832,392,62
11110615,2021,8,6,188,217,915,922,935,1322,1409,824,398,63
11110615,2021,9,6,187,224,927,922,924,1316,1400,814,403,64
11110615,2021,10,6,187,225,930,919,920,1318,1408,809,401,65
11110615,2021,11,3,179,228,925,931,914,1308,1412,804,403,67
11110615,2021,12,3,185,225,932,942,915,1316,1398,809,403,69
11110630,2021,1,9,112,222,1095,727,591,965,756,527,217,37
11110630,2021,2,10,113,224,1102,733,588,966,765,527,220,34
11110630,2021,4,1,110,276,1110,734,577,926,758,498,219,32
11110630,2021,5,1,109,277,1107,736,579,915,767,503,218,31
11110630,2021,6,0,105,253,1089,720,575,907,755,499,217,30
11110630,2021,7,0,103,239,1069,735,569,903,760,495,218,30
11110630,2021,8,0,100,237,1067,736,570,898,757,497,219,29
11110630,2021,9,2,97,232,1095,742,567,895,764,492,219,28
11110630,2021,10,2,98,224,1106,742,562,884,773,492,220,27
11110630,2021,11,1,94,222,1114,743,559,886,766,493,221,28
11110630,2021,12,1,93,211,1112,735,557,881,763,492,215,29
11110640,2021,1,14,233,429,1668,1244,961,1107,941,605,308,48
11110640,2021,2,14,233,432,1663,1235,954,1109,955,609,309,48
11110640,2021,4,2,234,410,1641,1250,941,1083,932,556,303,38
11110640,2021,5,2,234,397,1630,1237,927,1089,937,559,309,38
11110640,2021,6,2,231,395,1611,1250,927,1094,937,554,308,38
11110640,2021,7,2,228,386,1609,1243,916,1093,927,561,307,38
11110640,2021,8,2,227,381,1616,1244,911,1099,920,567,308,40
11110640,2021,9,3,226,375,1611,1237,916,1101,929,568,306,40
11110640,2021,10,4,223,373,1613,1238,904,1084,938,566,306,40
11110640,2021,11,4,222,365,1612,1232,898,1097,943,564,308,40
11110640,2021,12,4,222,360,1585,1221,885,1096,939,566,311,42
11110650,2021,1,21,681,1303,4420,2072,2270,2321,1631,1246,639,103
