행정동_코드,행정동,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점
11230730,휘경2동,0.0,0.0,3.0,122.0,379.0,87.0
11230740,이문1동,12.0,39.0,114.0,156.0,4383.0,1385.0
11230750,이문2동,24.0,0.0,6.0,48.0,443.0,94.0
11260520,면목2동,0.0,36.0,79.0,144.0,3191.0,667.0
11260540,면목4동,0.0,0.0,32.0,132.0,1853.0,348.0
11260550,면목5동,0.0,48.0,24.0,72.0,1019.0,230.0
11260565,면목본동,12.0,144.0,127.0,144.0,4224.0,782.0
11260570,면목7동,12.0,48.0,60.0,96.0,2145.0,330.0
11260575,면목제3.8동,36.0,70.0,88.0,176.0,4182.0,838.0
11260580,상봉1동,12.0,12.0,69.0,149.0,1673.0,769.0
11260590,상봉2동,135.0,217.0,48.0,99.0,5321.0,760.0
11260600,중화1동,0.0,0.0,24.0,186.0,1155.0,493.0
11260610,중화2동,0.0,120.0,96.0,96.0,3930.0,617.0
11260620,묵1동,24.0,120.0,89.0,201.0,2501.0,768.0
11260630,묵2동,24.0,168.0,36.0,96.0,2475.0,333.0
11260655,망우본동,15.0,228.0,109.0,345.0,4461.0,1162.0
11260660,망우3동,0.0,24.0,61.0,142.0,1590.0,379.0
11260680,신내1동,0.0,0.0,101.0,312.0,2657.0,683.0
11260690,신내2동,0.0,0.0,92.0,156.0,1277.0,339.0
11290525,성북동,0.0,0.0,48.0,132.0,2077.0,1002.0
11290555,삼선동,12.0,129.0,96.0,215.0,4839.0,1169.0
11290575,동선동,36.0,141.0,180.0,214.0,6388.0,1621.0
11290580,돈암1동,0.0,0.0,12.0,132.0,627.0,210.0
11290590,돈암2동,0.0,0.0,12.0,84.0,307.0,89.0
11290600,안암동,0.0,32.0,109.0,237.0,4401.0,1685.0
11290610,보문동,24.0,117.0,60.0,170.0,1803.0,464.0
11290620,정릉1동,0.0,24.0,96.0,180.0,2810.0,808.0
11290630,정릉2동,0.0,24.0,21.0,37.0,1057.0,252.0
11290640,정릉3동,0.0,0.0,24.0,195.0,1223.0,367.0
11290650,정릉4동,0.0,12.0,42.0,161.0,1122.0,196.0
11290660,길음1동,12.0,12.0,216.0,199.0,2125.0,1012.0
11290685,길음2동,0.0,0.0,92.0,111.0,985.0,437.0
11290705,종암동,12.0,36.0,108.0,323.0,3167.0,864.0
