행정동_코드,행정동,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점
11710670,잠실2동,0.0,12.0,102.0,108.0,691.0,693.0
11710680,잠실3동,0.0,0.0,144.0,48.0,992.0,1235.0
11710690,잠실4동,0.0,0.0,225.0,246.0,2651.0,1739.0
11710710,잠실6동,0.0,0.0,105.0,84.0,1842.0,872.0
11710720,잠실7동,0.0,0.0,24.0,24.0,66.0,81.0
11740515,강일동,0.0,0.0,48.0,204.0,523.0,355.0
11740525,상일1동,0.0,12.0,69.0,292.0,1935.0,663.0
11740530,명일1동,0.0,168.0,165.0,179.0,2945.0,975.0
11740540,명일2동,0.0,0.0,120.0,100.0,1264.0,770.0
11740550,고덕1동,0.0,0.0,93.0,249.0,1021.0,260.0
11740560,고덕2동,0.0,0.0,42.0,70.0,892.0,263.0
11740570,암사1동,24.0,60.0,171.0,213.0,3105.0,734.0
11740580,암사2동,0.0,24.0,60.0,84.0,1247.0,456.0
11740590,암사3동,0.0,0.0,45.0,120.0,493.0,258.0
11740600,천호1동,0.0,113.0,69.0,201.0,2195.0,617.0
11740610,천호2동,186.0,96.0,221.0,282.0,6785.0,2168.0
11740620,천호3동,48.0,144.0,105.0,172.0,3425.0,800.0
11740640,성내1동,0.0,96.0,90.0,274.0,3290.0,861.0
11740650,성내2동,0.0,12.0,151.0,132.0,3813.0,996.0
11740660,성내3동,36.0,108.0,172.0,122.0,4789.0,1143.0
11740685,길동,1312.0,240.0,174.0,365.0,6801.0,1347.0
11740690,둔촌1동,0.0,0.0,0.0,12.0,0.0,36.0
11740700,둔촌2동,0.0,24.0,60.0,192.0,2507.0,765.0
