자치구,행정동,행정동_코드,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구
중랑구,신내1동,11260680,2426,3753,3226,3128,896,172,45
중랑구,신내2동,11260690,2273,2548,1946,1376,256,48,7
중랑구,면목본동,11260565,6360,4292,2734,1760,374,86,20
중랑구,면목3.8동,11260575,4347,3099,2085,1369,277,66,20
중랑구,망우본동,11260655,4734,3518,2403,1682,406,93,24
성북구,돈암1동,11290580,1385,1788,1348,1006,219,51,11
성북구,돈암2동,11290590,1188,2100,2316,1980,427,78,22
성북구,안암동,11290600,5964,1688,870,584,126,26,6
성북구,보문동,11290610,3011,1713,1321,877,196,21,8
성북구,정릉1동,11290620,1819,1800,1706,1354,294,63,15
성북구,정릉2동,11290630,2284,2593,2116,1509,359,78,18
성북구,정릉3동,11290640,3255,1852,1103,735,199,32,12
성북구,정릉4동,11290650,2659,2837,2245,1647,383,76,18
성북구,길음1동,11290660,1721,2694,3298,3380,627,108,22
성북구,길음2동,11290685,1666,1664,1564,1174,270,51,12
성북구,월곡1동,11290715,2454,2649,2383,1934,454,95,20
성북구,월곡2동,11290725,3767,2175,1523,1139,286,57,15
성북구,장위1동,11290760,2487,2286,1676,1230,300,58,19
성북구,장위2동,11290770,2030,1720,1150,720,196,44,10
성북구,장위3동,11290780,1839,1745,1582,1259,274,49,11
성북구,성북동,11290525,2945,1982,1247,795,237,57,22
성북구,삼선동,11290555,4790,2551,1673,1345,319,78,21
성북구,동선동,11290575,5186,1684,965,607,149,36,6
성북구,종암동,11290705,5568,3939,3316,2693,604,116,32
성북구,석관동,11290810,5492,4233,3137,1986,454,98,19
강북구,번1동,11305595,4380,2375,1368,885,198,37,5
강북구,번2동,11305603,2250,2237,1408,833,201,51,6
강북구,번3동,11305608,2002,2295,1529,1023,250,32,11
강북구,수유1동,11305615,3467,2620,1643,1080,282,64,10
강북구,수유2동,11305625,2674,2672,1795,1201,302,59,17
강북구,수유3동,11305635,5632,2811,1728,1012,256,49,12
강북구,삼양동,11305534,3023,2891,1998,1447,363,81,22
강북구,미아동,11305535,4807,2685,1675,1052,239,48,16
강북구,송중동,11305545,4548,3369,2499,1713,415,83,20
강북구,송천동,11305555,4508,3338,2202,1465,343,67,11
강북구,삼각산동,11305575,2021,2663,2948,2741,530,102,30
강북구,우이동,11305645,2436,2586,1749,1159,279,62,15
강북구,인수동,11305660,3937,3890,2719,1728,390,101,29
도봉구,쌍문1동,11320660,2489,2565,1919,1313,321,73,18
도봉구,쌍문2동,11320670,2457,2376,1659,1152,228,46,17
도봉구,쌍문3동,11320680,2761,1943,1458,954,199,38,10
도봉구,쌍문4동,11320681,1238,1827,1799,1575,277,45,7
도봉구,방학1동,11320690,3502,3281,2386,1832,443,80,17
도봉구,방학2동,11320700,2768,2612,1647,1114,255,63,14
도봉구,방학3동,11320710,1399,2811,2557,2201,457,95,17
도봉구,창1동,11320511,2919,2875,2289,1653,298,53,16
도봉구,창2동,11320512,2889,3391,2661,1935,429,88,25
도봉구,창3동,11320513,1901,1717,1225,828,202,35,11
도봉구,창4동,11320514,2256,2729,2458,2075,389,61,16
도봉구,창5동,11320515,2347,2699,2340,1740,347,66,15
도봉구,도봉1동,11320521,3023,2976,1762,1056,245,47,28
도봉구,도봉2동,11320522,2935,3364,2498,1661,388,66,20
노원구,월계1동,11350560,3440,2542,1799,1413,314,55,13
노원구,월계2동,11350570,3531,3296,2484,1636,360,69,9
노원구,월계3동,11350580,3359,3696,2893,1867,377,64,9
노원구,공릉2동,11350600,4783,3581,3296,3113,597,113,25
노원구,하계1동,11350611,3265,2623,2273,2032,358,48,17
노원구,하계2동,11350612,1481,2013,2021,2024,333,44,8
노원구,중계본동,11350619,1105,1631,2054,2443,528,86,22
노원구,중계1동,11350621,1070,1571,2536,2980,439,39,7
노원구,중계4동,11350624,2081,2132,1763,1519,311,44,15
노원구,상계1동,11350630,3454,4129,3405,2775,631,117,27
노원구,상계2동,11350640,2415,1945,1692,1524,296,72,17
노원구,상계5동,11350670,3030,2916,2156,1527,323,59,14
노원구,상계8동,11350700,1954,2463,2311,1728,242,32,8
노원구,상계9동,11350710,1765,2361,2042,1538,238,36,14
노원구,상계10동,11350720,1431,1967,1517,1153,140,31,9
노원구,상계3.4동,11350665,3275,3309,2209,1621,384,67,19
노원구,상계6.7동,11350695,3524,3646,3071,2361,380,52,10
노원구,중계2.3동,11350625,4119,4302,3158,2321,382,69,8
노원구,공릉1동,11350595,7356,4078,3000,2219,468,112,21
은평구,녹번동,11380510,5033,4701,3314,2068,493,81,15
은평구,불광1동,11380520,4730,4876,3484,2283,497,97,22
은평구,갈현1동,11380551,3373,2945,1967,1290,287,60,22
은평구,갈현2동,11380552,3136,3385,2591,1820,434,87,20
은평구,구산동,11380560,2785,3474,2828,2101,544,87,29
은평구,대조동,11380570,5597,3441,2109,1274,299,79,11
은평구,응암1동,11380580,3771,3122,2211,1615,353,59,14
은평구,응암2동,11380590,2171,2807,2655,2009,386,71,22
은평구,신사1동,11380631,3009,3254,2468,1747,395,82,15
은평구,신사2동,11380632,2314,2417,1803,1328,280,70,20
은평구,증산동,11380640,1736,1867,1316,951,237,44,15
은평구,수색동,11380650,963,1116,801,566,117,32,0
은평구,진관동,11380690,4742,4706,4452,4506,1272,257,54
은평구,불광2동,11380530,4589,3660,2409,1472,366,72,16
은평구,응암3동,11380600,4431,3268,1966,1244,300,61,19
은평구,역촌동,11380625,5473,5503,4090,2851,668,148,35
서대문구,천연동,11410520,2388,1884,1508,1111,248,41,6
서대문구,홍제1동,11410620,2736,2692,2158,1529,344,62,20
서대문구,홍제3동,11410640,2027,1844,1381,958,199,43,11
서대문구,홍제2동,11410655,1443,1590,1293,933,200,28,6
서대문구,홍은1동,11410660,2538,2464,1961,1461,365,60,18
서대문구,홍은2동,11410685,3769,3114,2241,1560,370,91,32
서대문구,남가좌1동,11410690,942,1273,1544,1320,268,48,7
서대문구,남가좌2동,11410700,4237,3051,2413,1835,373,93,18
서대문구,북가좌1동,11410710,1172,1840,1691,1406,304,63,7
서대문구,북가좌2동,11410720,4463,3788,2752,2005,474,82,16
서대문구,충현동,11410565,3880,2202,1546,1137,274,58,11
서대문구,북아현동,11410555,2261,1789,1552,1041,178,40,6
서대문구,신촌동,11410585,9002,1902,885,553,139,42,9
서대문구,연희동,11410615,9005,4178,2670,1920,486,109,25
마포구,용강동,11440590,2388,2156,1931,1516,306,61,11
마포구,대흥동,11440600,4027,1625,901,619,121,21,7
마포구,염리동,11440610,1775,1247,1012,759,147,23,6
마포구,신수동,11440630,3184,2419,2004,1531,294,67,24
마포구,서교동,11440660,8192,3033,1484,923,205,40,10
마포구,합정동,11440680,3699,2318,1300,750,172,33,8
마포구,망원1동,11440690,3829,2587,1521,1062,270,50,9
마포구,망원2동,11440700,2398,2172,1513,1256,276,43,18
마포구,연남동,11440710,4142,1905,1056,638,159,36,12
마포구,성산1동,11440720,3506,2281,1508,1011,267,50,14
마포구,성산2동,11440730,6694,4416,3173,2470,518,95,27
마포구,상암동,11440740,3741,2719,2510,2379,601,85,18
마포구,도화동,11440585,2610,2251,1849,1378,304,61,13
마포구,서강동,11440655,4380,2521,2056,1537,287,53,11
마포구,공덕동,11440565,6338,4328,3123,2165,461,91,20
마포구,아현동,11440555,2269,2591,2549,1732,266,42,11
양천구,목1동,11470510,1189,2066,3092,2999,490,88,19
양천구,목2동,11470520,3752,3216,2652,1951,413,82,25
양천구,목3동,11470530,2963,2625,1967,1321,230,62,13
양천구,목4동,11470540,2280,2094,2230,2161,420,77,17
양천구,신월1동,11470560,3273,2560,1768,1109,243,55,11
양천구,신월2동,11470570,1749,2292,1926,1430,363,71,25
양천구,신월3동,11470580,2877,1966,1163,787,215,42,11
양천구,신월4동,11470590,1151,1780,1744,1414,288,75,12
양천구,신월5동,11470600,1567,1670,1318,971,222,53,12
양천구,신월6동,11470610,874,1365,1290,1074,202,31,0
양천구,신월7동,11470611,2217,2793,1846,1175,234,39,11
양천구,신정1동,11470620,929,1467,1772,2087,350,60,8
양천구,신정2동,11470630,1148,1419,1707,1883,383,53,8
양천구,신정3동,11470640,3582,4629,4035,3516,852,134,28
양천구,신정6동,11470670,728,1755,2491,2386,374,51,11
양천구,신정7동,11470680,2450,2881,2727,2385,399,51,17
양천구,목5동,11470550,1185,2580,4057,4281,650,92,21
양천구,신정4동,11470650,5522,3944,2718,1859,415,79,24
